Time,Dropped,Passed,ProcessingTime
0.00,0,0,0
2.00,12,15,3468
4.01,19,21,1581
6.01,23,32,3278
8.01,40,49,3059
10.01,51,68,4100
12.01,60,78,2073
14.01,76,91,3955
16.01,80,94,3393
18.02,108,123,1245
20.02,133,135,3847
22.02,162,161,3010
24.02,169,165,2932
26.02,198,200,3320
28.02,215,217,2018
30.02,232,243,2724
32.03,249,256,3769
34.03,254,261,1903
36.03,269,270,2630
38.03,306,317,2452
40.03,332,341,3887
42.03,340,348,2740
44.03,359,369,2449
46.04,399,415,2855
48.04,421,439,2310
50.04,442,462,2808
52.04,456,487,2564
54.04,471,508,2729
56.04,485,526,939
58.04,500,552,1630
60.04,518,572,1905
62.05,539,593,3196
64.05,555,600,1862
66.05,567,610,3490
