Time,Dropped,Passed,ServiceRate,NAverage,QueueSize
0.00,0,0,0,1000,0,1730707835678280785
0.00,0,0,0,1000,0,1730707835678280785
0.00,0,0,0,1000,0,1730707835678280785
0.00,0,0,0,1000,0,1730707835678280785
0.00,0,0,0,1000,0,1730707835678280785
2.00,0,0,504,62,37,2927938145583
2.00,0,0,504,62,37,2927938145583
2.00,62,0,504,62,37,2927938145583
2.00,62,62,504,62,37,2927938145583
2.00,62,62,504,62,37,2927938145583
4.00,0,0,250,145,120,2927938145583
4.00,0,0,250,145,120,2927938145583
4.00,145,0,250,145,120,2927938145583
4.00,145,145,250,145,120,2927938145583
4.00,145,145,250,145,120,2927938145583
6.00,0,0,167,226,201,2927938145583
6.00,0,0,167,226,201,2927938145583
6.00,226,0,167,226,201,2927938145583
6.00,226,226,167,226,201,2927938145583
6.00,226,226,167,226,201,2927938145583
8.00,0,0,127,325,300,2927938145583
8.00,0,0,127,325,300,2927938145583
8.00,325,0,127,325,300,2927938145583
8.00,325,325,127,325,300,2927938145583
8.00,325,325,127,325,300,2927938145583
10.01,0,0,222,82,270,2936457790575
10.01,0,0,222,82,270,2936457790575
10.01,407,0,222,82,270,2936457790575
10.01,407,407,222,82,270,2936457790575
10.01,407,407,222,82,270,2936457790575
12.01,0,0,93,161,300,2936457790575
12.01,0,0,93,161,300,2936457790575
12.01,486,0,93,161,300,2936457790575
12.01,486,486,93,161,300,2936457790575
12.01,486,486,93,161,300,2936457790575
14.01,0,0,59,245,300,2936457790575
14.01,0,0,59,245,300,2936457790575
14.01,570,0,59,245,300,2936457790575
14.01,570,570,59,245,300,2936457790575
14.01,570,570,59,245,300,2936457790575
16.01,0,0,43,339,300,2936457790575
16.01,0,0,43,339,300,2936457790575
16.01,664,0,43,339,300,2936457790575
16.01,664,664,43,339,300,2936457790575
16.01,664,664,43,339,300,2936457790575
18.01,0,0,254,49,261,2944469869708
18.01,0,0,254,49,261,2944469869708
18.01,743,0,254,49,261,2944469869708
18.01,743,743,254,49,261,2944469869708
18.01,743,743,254,49,261,2944469869708
20.01,0,0,117,145,300,2944469869708
20.01,0,0,117,145,300,2944469869708
20.01,839,0,117,145,300,2944469869708
20.01,839,839,117,145,300,2944469869708
20.01,839,839,117,145,300,2944469869708
22.01,0,0,67,243,300,2944469869708
22.01,0,0,67,243,300,2944469869708
22.01,937,0,67,243,300,2944469869708
22.01,937,937,67,243,300,2944469869708
22.01,937,937,67,243,300,2944469869708
24.02,0,0,49,329,300,2944469869708
24.02,0,0,49,329,300,2944469869708
24.02,1023,0,49,329,300,2944469869708
24.02,1023,1023,49,329,300,2944469869708
24.02,1023,1023,49,329,300,2944469869708
26.02,0,0,308,69,247,2952820135075
26.02,0,0,308,69,247,2952820135075
26.02,1108,0,308,69,247,2952820135075
26.02,1108,1108,308,69,247,2952820135075
26.02,1108,1108,308,69,247,2952820135075
28.02,0,0,110,148,300,2952820135075
28.02,0,0,110,148,300,2952820135075
28.02,1187,0,110,148,300,2952820135075
28.02,1187,1187,110,148,300,2952820135075
28.02,1187,1187,110,148,300,2952820135075
30.02,0,0,67,217,300,2952820135075
30.02,0,0,67,217,300,2952820135075
30.02,1256,0,67,217,300,2952820135075
30.02,1256,1256,67,217,300,2952820135075
30.02,1256,1256,67,217,300,2952820135075
32.02,0,0,52,299,300,2952820135075
32.02,0,0,52,299,300,2952820135075
32.02,1338,0,52,299,300,2952820135075
32.02,1338,1338,52,299,300,2952820135075
32.02,1338,1338,52,299,300,2952820135075
34.02,0,0,408,50,250,2960833846085
34.02,0,0,408,50,250,2960833846085
34.02,1438,0,408,50,250,2960833846085
34.02,1438,1438,408,50,250,2960833846085
34.02,1438,1438,408,50,250,2960833846085
36.02,0,0,111,138,300,2960833846085
36.02,0,0,111,138,300,2960833846085
36.02,1526,0,111,138,300,2960833846085
36.02,1526,1526,111,138,300,2960833846085
36.02,1526,1526,111,138,300,2960833846085
38.03,0,0,67,221,300,2960833846085
38.03,0,0,67,221,300,2960833846085
38.03,1609,0,67,221,300,2960833846085
38.03,1609,1609,67,221,300,2960833846085
