Time,Dropped,Passed,ProcessingTime
0.00,0,0,0
2.00,9,11,2588
4.00,21,23,3611
6.01,40,47,3052
8.01,49,67,2916
10.01,56,87,1871
12.01,58,97,3077
14.01,75,141,2555
16.01,80,159,3071
18.01,83,168,1866
20.01,86,192,3538
22.02,87,209,1897
24.02,91,231,3069
26.02,92,258,1206
28.02,92,276,1023
30.02,93,315,1473
32.02,94,337,1497
34.03,94,359,3828
36.03,94,389,931
38.03,94,409,171
40.03,94,433,1949
42.03,94,456,2257
44.03,94,478,778
46.03,94,504,947
48.03,94,519,2340
50.04,94,539,1079
52.04,94,564,1079
54.04,94,589,2739
